epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.704,1.338,3.75164,1.19384,0.61797,0.47228,0.45535,0.35208,0.90641,1.22757,0.93428,9.23841e-05,9.23841e-05,9.23841e-05
2,246.733,1.18965,1.44687,1.10136,0.68573,0.5885,0.66159,0.50357,0.89308,0.92352,0.93261,0.000183219,0.000183219,0.000183219
3,364.519,1.17897,1.16042,1.10764,0.658,0.63586,0.69488,0.5324,0.83521,0.86495,0.92971,0.000272219,0.000272219,0.000272219
4,480.779,1.16696,0.99931,1.09699,0.73127,0.68677,0.78553,0.60743,0.80444,0.79474,0.9206,0.000269743,0.000269743,0.000269743
5,597.187,1.14719,0.92268,1.09223,0.80451,0.71553,0.80958,0.64326,0.752,0.71025,0.91388,0.000266991,0.000266991,0.000266991
6,712.809,1.10058,0.85727,1.0762,0.79997,0.73467,0.83677,0.67031,0.75487,0.67254,0.91063,0.000264239,0.000264239,0.000264239
7,830.189,1.08786,0.81733,1.06918,0.82779,0.76363,0.84324,0.66397,0.73058,0.62454,0.89879,0.000261487,0.000261487,0.000261487
8,946.562,1.08567,0.79346,1.06906,0.79459,0.82536,0.87047,0.68671,0.73873,0.62455,0.90325,0.000258735,0.000258735,0.000258735
9,1062.4,1.07399,0.76602,1.0587,0.84017,0.82967,0.8727,0.68642,0.746,0.5949,0.90594,0.000255982,0.000255982,0.000255982
10,1179.61,1.05143,0.73242,1.04949,0.80826,0.82158,0.8921,0.70881,0.71937,0.57318,0.90381,0.00025323,0.00025323,0.00025323
11,1298.52,1.02991,0.71292,1.04155,0.84046,0.83201,0.89203,0.71591,0.70629,0.55652,0.90467,0.000250478,0.000250478,0.000250478
12,1416.94,0.99579,0.68237,1.03016,0.80667,0.82622,0.88779,0.718,0.71207,0.55645,0.89978,0.000247726,0.000247726,0.000247726
13,1534.23,1.00273,0.68423,1.03089,0.83667,0.82207,0.89443,0.71151,0.73361,0.54366,0.90734,0.000244974,0.000244974,0.000244974
14,1651.08,0.97612,0.6641,1.01728,0.85163,0.84514,0.90253,0.71776,0.7115,0.52937,0.89221,0.000242221,0.000242221,0.000242221
