epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.5436,0.8349,2.83631,0.98454,0.66948,0.49459,0.55678,0.45781,0.72548,0.99389,0.89637,0.00012778,0.00012778,0.00012778
2,177.265,0.76041,1.06481,0.94605,0.73363,0.59869,0.69266,0.54664,0.72987,0.80182,0.93055,0.000253578,0.000253578,0.000253578
3,261.243,0.75374,0.89123,0.94444,0.80798,0.60189,0.72265,0.57623,0.74491,0.83171,0.93867,0.000376835,0.000376835,0.000376835
4,345.023,0.75366,0.80963,0.94698,0.82574,0.69838,0.81055,0.64331,0.70158,0.64332,0.92853,0.000373565,0.000373565,0.000373565
5,429.055,0.73937,0.7096,0.93724,0.85311,0.77018,0.81923,0.65893,0.70327,0.60435,0.91938,0.000369754,0.000369754,0.000369754
6,512.968,0.72883,0.6763,0.9371,0.81694,0.68619,0.78701,0.63091,0.69294,0.6281,0.92618,0.000365942,0.000365942,0.000365942
7,596.049,0.72633,0.65364,0.93341,0.87625,0.76581,0.82764,0.66902,0.66069,0.54364,0.89979,0.000362131,0.000362131,0.000362131
8,679.647,0.70042,0.61949,0.92609,0.85872,0.79452,0.87733,0.70433,0.6714,0.53605,0.90397,0.000358319,0.000358319,0.000358319
9,763.417,0.69224,0.58529,0.92455,0.85436,0.85071,0.88363,0.72184,0.67234,0.51969,0.91394,0.000354508,0.000354508,0.000354508
10,847.35,0.68592,0.58164,0.91829,0.85097,0.82525,0.89034,0.71764,0.65828,0.49411,0.90499,0.000350697,0.000350697,0.000350697
11,931.208,0.67514,0.57373,0.91865,0.86203,0.8694,0.90856,0.73928,0.66669,0.47899,0.90473,0.000346885,0.000346885,0.000346885
12,1014.82,0.66791,0.54522,0.90855,0.80459,0.88276,0.89738,0.73559,0.64958,0.52311,0.89401,0.000343074,0.000343074,0.000343074
13,1098.86,0.67706,0.55017,0.91586,0.88409,0.8539,0.91058,0.74257,0.64974,0.47959,0.9046,0.000339262,0.000339262,0.000339262
14,1183.56,0.65718,0.53914,0.91365,0.87771,0.89253,0.91437,0.75081,0.64887,0.4691,0.90217,0.00033545,0.00033545,0.00033545
15,1267.37,0.65245,0.51875,0.90812,0.85427,0.88767,0.91609,0.74855,0.64554,0.44948,0.90023,0.000331639,0.000331639,0.000331639
16,1350.99,0.65534,0.50668,0.91089,0.88141,0.87048,0.91503,0.74111,0.63302,0.46122,0.89634,0.000327827,0.000327827,0.000327827
17,1434.61,0.65081,0.50872,0.90366,0.87765,0.89277,0.91408,0.7578,0.62831,0.43638,0.89034,0.000324016,0.000324016,0.000324016
18,1518.37,0.64516,0.50056,0.90451,0.8435,0.90076,0.91832,0.75805,0.63036,0.44158,0.88864,0.000320204,0.000320204,0.000320204
